unit_id,decision,reason,meaningful_pair_count,maximum_heldout_containment
bibit:record:bibit000118,exclude_anthology_residual_from_v8_broader_training,source contains extracted sonnets with poem-level attribution distinct from anthology editor,,
bibit:record:bibit001444,exclude_anthology_residual_from_v8_broader_training,source contains extracted sonnets with poem-level attribution distinct from anthology editor,,
bibit:record:bibit000031,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.17894737
bibit:record:bibit000430,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.54761905
bibit:record:bibit000475,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.17475728
bibit:record:bibit000856,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,2,0.30097087
bibit:record:bibit000949,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,12,0.34444444
bibit:record:bibit000954,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.10476190
bibit:record:bibit000978,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.46428571
bibit:record:bibit000992,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.27184466
bibit:record:bibit001056,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,3,0.39784946
bibit:record:bibit001158,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,3,0.39603960
bibit:record:bibit001257,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.12621359
bibit:record:bibit001291,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,4,0.33663366
bibit:record:bibit001331,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.14444444
existing:record:ll_vasari_vite_1568,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,2,0.78125000
gutenberg:record:pg27825,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.12500000
gutenberg:record:pg35321,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.23469388
gutenberg:record:pg37720,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.15384615
gutenberg:record:pg38578,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,2,0.14285714
gutenberg:record:pg38698,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.74074074
gutenberg:record:pg45638,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.26250000
gutenberg:record:pg47276,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,2,0.19587629
gutenberg:record:pg48332,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,3,0.22680412
gutenberg:record:pg49365,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.47872340
gutenberg:record:pg56794,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,3,0.72727273
gutenberg:record:pg56890,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,2,0.21111111
gutenberg:record:pg60249,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.24778761
gutenberg:record:pg62987,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.16822430
gutenberg:record:pg70898,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.40384615
gutenberg:record:pg71115,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,2,0.51041667
ilc_ota:record:ota_0304:rime-0304,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.79166667
wikisource:record:itws:473919,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.47252747
wikisource:record:itws:476639,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.17283951
wikisource:record:itws:476640,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.31000000
wikisource:record:itws:481164,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.65625000
wikisource:record:itws:482779,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.55913978
wikisource:record:itws:482780,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.37634409
wikisource:record:itws:484111,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.42857143
wikisource:record:itws:626060,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.29787234
wikisource:record:itws:746029,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.68085106
wikisource:record:itws:826844,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.76000000
wikisource:record:itws:826846,quarantine_initial_broader_heldout_overlap,initial normalized eight-word-shingle audit met the approved meaningful-overlap thresholds,1,0.71844660
