archive_id,assigned_corpus_role,language_variety,historical_period,register_genre_form,scope_unit,scope_count,projected_characters,projected_tokens,projected_share_of_resulting_corpus,concentration_risk,expected_unique_value,full_audit_runtime_lower_hours,full_audit_runtime_upper_hours,full_audit_value,composition_gate_decision,gate_reason,activation_status
bibit_scrittori_italia,excluded,standard Italian,historical through Ottocento,canonical literary editions; page images,works,179,,,not_computable_without_record_inventory,high BibIt/Laterza overlap,low,0,0,low,excluded,Image OCR would duplicate higher-quality existing text.,inactive_metadata_only
bibit_incunaboli,auxiliary_ocr_candidate,volgare; record review required,fifteenth century,incunabula; page images,incunabula,>1600,,,not_computable_without_record_inventory,unknown library/edition concentration,high if unique,40,120,conditional,blocked,A measured OCR and item-rights experiment is required first.,inactive_metadata_only
eltec_italian,auxiliary_capped_ottocento_bridge,Italian,nineteenth and early twentieth century,novels,novels,36,,,not_computable_without_record_inventory,source overlap and author concentration unresolved,moderate,2,5,high,eligible_bounded_inventory,"Small, bounded release suited to a capped bridge audit.",inactive_metadata_only
internet_archive,core_training_candidate,metadata-tagged Italian,through 1900 metadata filter,mixed books; scan OCR,metadata hits,99424,,,not_computable_without_record_inventory,very high source/author/edition duplication,potentially high,20,60,conditional,eligible_bounded_inventory,"Inventory must aggressively filter rights, duplicates, and OCR quality.",inactive_metadata_only
gallica,core_training_candidate,Italian metadata query,historical through Ottocento,books/manuscripts; OCR,not measured,,,,not_computable_without_record_inventory,high edition and institution concentration possible,potentially high,12,36,conditional,eligible_bounded_inventory,Metadata and OCR quality are inspectable; text rights remain separate.,inactive_metadata_only
internet_culturale,core_training_candidate,Italian collections,medieval through contemporary,mixed collections; some digital text,collections,291,,,not_computable_without_record_inventory,institution/item concentration unresolved,moderate-high,12,30,high,eligible_bounded_inventory,Terms support non-commercial reuse but partner/item access must be measured.,inactive_metadata_only
beic,core_training_candidate,multilingual; Italian filter required,ancient through contemporary,multidisciplinary digital library,digital resources,39821,,,not_computable_without_record_inventory,high overlap with scan partners,moderate,12,30,high,eligible_bounded_inventory,Open rights metadata supports a bounded text-format inventory.,inactive_metadata_only
hathitrust,core_training_candidate,Italian holdings,historical through contemporary,books,not measured,,,,not_computable_without_record_inventory,unknown,potentially high,0,0,low while blocked,blocked,Terms and research-corpus access are not pinned.,inactive_metadata_only
google_books,excluded,Italian discovery,historical through contemporary,books/previews,not measured,,,,not_computable_without_record_inventory,very high duplicate inventory,discovery only,0,0,low,excluded,No corpus-text grant; use only as an edition locator.,inactive_metadata_only
ovi_tlio,core_training_candidate,Old Italian,medieval,lexicographic/text corpus query,not measured,,,,not_computable_without_record_inventory,source-list concentration unknown,very high if permitted,0,0,low while blocked,blocked,Permission and bulk access are absent.,inactive_metadata_only
midia,core_training_candidate,Italian,thirteenth to mid-twentieth century,seven text types; diachronic corpus,texts,~800,,7800000,not_computable_without_record_inventory,period/genre/source concentration unresolved,high,4,10,high,eligible_bounded_inventory,CC BY-NC 4.0 supports a source/access inventory before text acquisition.,inactive_metadata_only
diacoris,auxiliary_capped_ottocento_bridge,Italian,1861-2001; only 1861-1900 relevant,six prose/news/literary genres,time slices,5,,,not_computable_without_record_inventory,modern and news concentration high,moderate bridge value,0,0,low while blocked,blocked,Query-only research terms do not establish training permission.,inactive_metadata_only
