review_id,work_root_id,root_title,proposed_role,checkpoint_4c_decision,quality_flags,missing_proofread_pages,overlap_summary,required_action,review_status,activation_status
itws4c:478864,itws:478864,516 proverbi sul cavallo,nineteenth_century_bridge,hold_quality_or_editorial_review,editorial_marker;language_variety_marker;removed_wikitable;transcription_gap_template,,,Quality or editorial signals require bounded review.,pending_bounded_review,inactive
itws4c:67279,itws:67279,"A che pur sempre piangi, anima trista",historical_non_sonnet_poetry,hold_duplicate_review,,,,A threshold internal or cross-corpus overlap requires canonical review.,pending_bounded_review,inactive
itws4c:883542,itws:883542,A che stancarsi all'Oceáno in seno?,historical_general,hold_duplicate_review,,,,A threshold internal or cross-corpus overlap requires canonical review.,pending_bounded_review,inactive
itws4c:746042,itws:746042,A chi nol sa non lasci Dio provare,historical_non_sonnet_poetry,hold_duplicate_review,,,,A threshold internal or cross-corpus overlap requires canonical review.,pending_bounded_review,inactive
itws4c:746103,itws:746103,A cosa fatta non vale pentére,historical_non_sonnet_poetry,hold_duplicate_review,,,,A threshold internal or cross-corpus overlap requires canonical review.,pending_bounded_review,inactive
itws4c:745999,itws:745999,A cui è 'n grado de l'Amor dir male,historical_non_sonnet_poetry,hold_duplicate_review,,,,A threshold internal or cross-corpus overlap requires canonical review.,pending_bounded_review,inactive
itws4c:742874,itws:742874,A Dio (Prati),standard_sonnets,hold_duplicate_review,,,,A threshold internal or cross-corpus overlap requires canonical review.,pending_bounded_review,inactive
itws4c:248002,itws:248002,A Fille - L'avverte acciò non giudichi secondo le apparenze,nineteenth_century_bridge,hold_unresolved_markup,unresolved_html_tag,,,Unresolved markup may contaminate primary text.,pending_bounded_review,inactive
itws4c:742744,itws:742744,A fin di corsa,standard_sonnets,hold_duplicate_review,,,,A threshold internal or cross-corpus overlap requires canonical review.,pending_bounded_review,inactive
itws4c:746856,itws:746856,"A la dolce stasón, ch'ei torde arvègnono",historical_non_sonnet_poetry,hold_duplicate_review,,,,A threshold internal or cross-corpus overlap requires canonical review.,pending_bounded_review,inactive
itws4c:746815,itws:746815,A lo tempo de Moises e più enanti,historical_non_sonnet_poetry,hold_duplicate_review,,,,A threshold internal or cross-corpus overlap requires canonical review.,pending_bounded_review,inactive
itws4c:1003724,itws:1003724,A Luigia Pallavicini (1856),nineteenth_century_bridge,hold_duplicate_review,,,bibit_overlap_metrics=bibit:bibit001069|candidate=0.853132|reference=0.387635,A threshold internal or cross-corpus overlap requires canonical review.,pending_bounded_review,inactive
itws4c:4751,itws:4751,A Luigia Pallavicini caduta da cavallo (1835),nineteenth_century_bridge,hold_duplicate_review,,,,A threshold internal or cross-corpus overlap requires canonical review.,pending_bounded_review,inactive
itws4c:742757,itws:742757,A mio padre (Prati),standard_sonnets,hold_duplicate_review,,,,A threshold internal or cross-corpus overlap requires canonical review.,pending_bounded_review,inactive
