candidate_id,ebook_id,title,source_kind,stanza_pattern,first_line,last_line,source_text_sha256,review_resolution,review_rationale
pg6938:char70679-71603,6938,"Rime di Tullia d'Aragona, cortigiana del secolo XVI",structural_14_line,14,"[41] ""Le meretrici non possino portare vesti di drappo e seta d'alcuna","_Legislazione toscana_, vol. I, pag. 332).",2b0445b7e028c8ba02ca674f99bf732470e291aa44677117318dbcb407f885e7,exclude_not_sonnet,"Fourteen-line detector window is a quoted statute in a footnote, not verse or a sonnet."
pg6938:char80613-81354,6938,"Rime di Tullia d'Aragona, cortigiana del secolo XVI",structural_14_line,8-6,"Sveglia messer Brandisio, e fagli offerta","rispettato, e l'accolse benignamente con ogni onore.",80b81862d3669738e57a13658d0eedde7bce24774c4e66b74a132745a4da1ad1,exclude_not_sonnet,"Window combines narrative ottava material and prose annotation, not a bounded sonnet."
pg11685:char12551-12971,11685,L'Endimione,structural_14_line,14,DIA.,A prenderti piacer della mia pena.,ea9740bc1ca2c52f74c153388671f2b9012b1095fe2ae5d7ba81a99387a8638c,exclude_not_sonnet,"Fourteen-line detector window is continuous operatic dialogue, not a bounded sonnet."
pg11685:char21724-22083,11685,L'Endimione,structural_14_line,4-4-6,Dall'alma mia costante,Toglimi di tua mano ancor la vita.,0417e7bda1f0cd2f277a4512da0dd755e631eca38c2cbc38401950e978b93e5f,exclude_not_sonnet,"Fourteen-line detector window is continuous operatic dialogue, not a bounded sonnet."
pg11685:char25911-26366,11685,L'Endimione,structural_14_line,4-4-6,"Chi provato ha la procella,",Solo per trionfar composi e finsi.,58fcf6fd98d1519dd1b9777773e328cf5b249c411b0c1f052504a4c93537f85c,exclude_not_sonnet,"Fourteen-line detector window is continuous operatic dialogue, not a bounded sonnet."
pg11685:char27964-28402,11685,L'Endimione,structural_14_line,14,AMO.,In fin dall'Istro a vagheggiar ne viene.,29f50317bb6763bbd51d5a138feaf7715d6af411b4afc176a9fbc6bba71f5677,exclude_not_sonnet,"Fourteen-line detector window is continuous operatic dialogue, not a bounded sonnet."
pg17671:char30282-30891,17671,Poesie scelte,structural_14_line,14,"Francesca,","M'avria... colei, che per sempre ho perduta.",332711c91ea71acdd05e5ba2f72915a53cca7ded25fb8fca023651435c267fa9,exclude_not_sonnet,"Fourteen-line detector window is continuous dramatic dialogue, not a bounded sonnet."
pg17671:char32896-33503,17671,Poesie scelte,structural_14_line,14,Il giorno che a Ravenna io giunsi,"Quel giorno, ma t'amai fin da quel giorno.",05e22d9e44b96cf969c650aaa581187284b86bec6a580f6e15787c8900dd56d7,exclude_not_sonnet,"Fourteen-line detector window is continuous dramatic dialogue, not a bounded sonnet."
pg17671:char46995-47579,17671,Poesie scelte,structural_14_line,14,Vaneggio?... Voi raccapricciate?...--Oh Guido!,A calpestarlo verrà forse!,01c319401a6f3d412c880dd22608a28d101aa3c7ce8ae899c129b692192f6a23,exclude_not_sonnet,"Fourteen-line detector window is continuous dramatic dialogue, not a bounded sonnet."
pg17671:char51796-52375,17671,Poesie scelte,structural_14_line,14,Io vengo,Al rammentarlo.,63d2036d9d2c7afbe5024628c4a996829f60f939059b0b22f3b6eb95a97b8b8d,exclude_not_sonnet,"Fourteen-line detector window is continuous dramatic dialogue, not a bounded sonnet."
pg17687:char23046-23653,17687,Il libro delle figurazioni ideali,structural_14_line,14,Innalzan l'incensier' l'aroma a spire,mentre indaga alle tombe il Villanuova.,13248106a7a9adf7134667e131c1f7b8baf95fed3c5c78507e61e8190899acd6,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char23660-24237,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,Corse tra selve oscure e paurose,e cavalcate di Madonne e Magi.,c462b9eca08da91ea169d8afb817d4f7ceaf1a9154b34311702c7c9c0b2e31e0,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char24631-25234,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"Io son la bella Oriana e il seggio mio,",vengan le Dame in lunga carovana.,851f6bdc4596b1a15bce297a35f1e22c52eb615e5e0351654716d47a4faa0c90,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char25247-25851,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"E noi veniamo a te, strana Maliarda,",squilla per noi la più ardita canzone.,f100b442ff53750af3ebba12fad740ae66069857cd7152a9830047ad8d07cb03,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char25863-26470,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"E noi veniamo a te, strana Sirena,",sotto il bacio dei tuoi fatali Eletti.,2d5b6ce2788ac3d9b066e3c04f4f9f51491e077316606dbbfb5a03ac6be4bc51,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char26498-27090,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"E noi ridiam di te, delle Chimere,",la triste forma della Maga Oriana.,d762e04b8f08c1fc1d9d1255d4c0135420917207df8acaaf401dcf0e0dc9d44f,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char27208-27818,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,S'erge il trono di bronzo e stanno intorno,aspettan la Sua vista riverenti.,169d74b71bcbb6c3149a4cd9f60998a9a9af46dab9a714ed15fb77aaff97aeb3,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char27989-28569,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"Libero il cuore e con l'acuta mente,","«Mondo, al vegliar delle coscienze ardite.»",305d189ee159cec5f559793c5bda7050728d5908e6fb0b9219fd8124560498f2,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char28746-29347,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,«I ricchi mercatanti di Tangeri,"«a ridur perle ed ambre e argento eletto,",c1bd2b635933297e5e08265e55f532d07e9bbd01ba10f1f8cca8d88228dec5d3,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char29523-30128,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"«Quindi, vagare le galee vermiglie,",«e guida nuda Oriana e strofe e coro.,c91241bb46109c2608e8801c44e7b0470d90b6aace70a57128746677b7a406c7,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char30304-30903,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"«Ma Oriana sta nelli ampi suoi verzieri,",«corrente mette capo ad Acheronte.»,c1e17a645d7af1b64e178a24c6f7e34e89b277c48ff147fa5d1c34ad7cdd91ea,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char31066-31661,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,Ed ammonia: «Così io; dalla stanza,«dei biondi teschi accorrà lo sparviere.»,979edc795d1b4b8692d983160f0a32f8e22e2f8acccc223539d6b66f4c9c6fb2,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char32034-32629,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"Prostesa Ella fatale e sovrumana,","«Sempre sperando nel sogno, o Fratelli!»",ac1543480a1b5880ced8108495ec441b1f2e12317471b195c57760e602cf744f,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char32809-33389,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,Videro le Galee rider dal mare,veleggiar per region' non pria tentate.,49f44eaef2aaa35469c49b0e6aeca4bf05a1887aa4fc58503108efbf20c2e8bd,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char33574-34163,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,«Già le bracie splendettero ai fornelli,dell'Or che l'alambicco non appaga.,ceaccc66af0d7099db3ff4248fc08feba45201092e9eba59cf75b7ac997c135e,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char34343-34933,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,Acrasia c'invitava ai suoi festini,"oltre al Signor, siede Illusione in groppa:",d96e53dde694a4e9ff7290abe91e45934fcd93b63cc664bae5690e173ba6b403,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char35123-35704,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,Suonâr le note or meste ed or giulive,a ricercare il Verbo dell'Amore.,81f63655c4e3105d86b382c3bd6ae5dc5480f7ae67503d31d33ff5e000cab799,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char35901-36511,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"Disse Gloriana, e via per le fiorite","salutasse all'arrivo, erto in sul lito.",e9e3a2cc2c444abfd8bd373951151f30cb90fd27e67f57d048312e9847c94ce6,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char36698-37296,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"Più avanti, avanti ancora. I miei palazzi,",baci alle donne ed anima ai misteri!,62d99c8dd6b7b2a1391fff2bb49a10827292b75977ee57139463304962f62041,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char37474-38085,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,E ancora e sempre avanti; e se i palagi,come vessillo per l'immensa piana.,2e7c5c982043cde4dc2f934c31858bcf73d319226ccd78853a0f4716928d9b1b,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char56339-56923,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,Leziosa pastorella incipriata,a cantarvi l'omaggi trionfali.,418b414351c1d6f196d3f2ead36376f81c19af214c31d93c52c68e21e2785368,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char56930-57515,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"Idolo strano, sotto un padiglione","la mia voce, divina incantatrice!",a371aac8eb206e48698924026a904d79745cccb39af11322188930209b102967,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char57523-58107,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"I miei Desiri, cupidi sparvieri,",mentre il riso ringrazia alli sparvieri.,779afcd860b10bbf7e670fb2a223563dc33902fc2e1c332b7275a379a890616c,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char58114-58712,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"Tenea sotto un broccato a padiglione,",lasciâr la Coppa muta di splendori.,a508038c9899cb404bffb3b959e87b41229e5ae217d997d18dab96b8ff478d08,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char58718-59309,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,Mitico serpe candido e rosato,"nè cessano, morendo, l'armonia.",4d43ecec0f77b84511427b9dfc6f67dec269f4fe5b7cfbe715b071c0d45da40a,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char59316-59899,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"Stava nel Tempio, dove io solo adoro,",fattura e stolto più l'amarla.»,90b768740a5412557b7cf4839bad60ae469a610d7b08eed248f900f864760c0e,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char59907-60490,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"Penelope moderna, dalle spole",nè disfate: e la tela è un fazzoletto.,fdab7b892dd0dc9f9cecbd086d56816ce531c890cfd22ecead443e34df39ef65,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char60499-61099,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"Il tappeto su cui, Bella, danzate","l'occhio ridendo ancor, calmo e divino.",6dbf14f109b0c4f7aef8a25a3fd7b8a562a32e766641cb6375828abe016d2dbf,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char61106-61703,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,Coi lucidi guinzagli il buon Valletto,"ebra, la mente al suo Piacere Iddio.",1a0edd1c51e86358befccc1567dc79e03e43c76d886cb7cd1edddfff06c2a7e8,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char61709-62300,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"Ma poi ch'io diverrò canuto e affranto,",tenterò flebilmente la Romanza.,7f8064392d390960fa21c15e73792f8f988aa7a28f6de6545d7735d78b2109b6,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char63270-63858,17687,Il libro delle figurazioni ideali,structural_14_line,14,"Il plenilunio sta, Dame e Messeri,",coi mirabil'incanti della notte.,4738e72dd490a9987ce8b458c2b704a4c8bcf7662fe3afc1ba226146aa923d39,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17687:char83648-84055,17687,Il libro delle figurazioni ideali,structural_14_line,14,Il preludio del giorno,"e avanti ancor, cantiamo.",18dc8be6807b3fbf3cff0945b17e64047c3d8139106d219a40e3248a1a63ef2a,exclude_not_sonnet,"Fourteen short refrain-like lines form a dramatic air, not a standard sonnet."
pg17687:char85066-85633,17687,Il libro delle figurazioni ideali,structural_14_line,8-6,"Sbuffò il polledro ancor, nè pel deserto","«vado, alla Morte!»",6f00ffdad457cfb9cadda7b04fff305b31cb06d625c7c840842a0e094b6a4d56,exclude_not_sonnet,"Window is the tail of a longer narrative passage with irregular stanza structure, not a sonnet."
pg17905:char41588-42143,17905,Vecchie cadenze e nuove,structural_14_line,4-4-3-3,"Vorrei, se fossi il Re delle magìe,",Farei nel core gli amorosi incanti.,24217be5850b146dfa4440b75dedefb0fd553f1410956175d7496465fc96184b,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17905:char42152-42716,17905,Vecchie cadenze e nuove,structural_14_line,4-4-3-3,"Allora, o verga magica, vorrei","A chieder grazia, disciogliendo il crine.",7d5620382fa2922dc2f1652835d8863bb82d95af7886f703b2a35ffa0c098201,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17905:char42726-43287,17905,Vecchie cadenze e nuove,structural_14_line,4-4-3-3,Al nuovo cenno si aprirebbe il coro,E tramutato il mondo in Norimberga.,cf0ca11963eaae5304d8bb7a28ab2a13e8e012871ea618c147a2cd73edb05d6f,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17905:char122406-122980,17905,Vecchie cadenze e nuove,structural_14_line,4-4-3-3,"Ombre placide e molli, ombre silenti",Ed il fuggire d'una rosea vesta.,130c560003259d8c066eb894982aedbdf0b620ec1ea07ed47227f58fa695fa27,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17905:char123010-123548,17905,Vecchie cadenze e nuove,structural_14_line,4-4-3-3,Mentre le luci di mia vita a poco,A ricercar le vecchie corde invano.,bd86671d9022934f829ac03f5e8af5c43c85ca2a62fe7ab8087f1c3b9d62ebc7,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg17906:char62994-63886,17906,Libro proibito,structural_14_line,14,"[22] L'opinione, accreditata dai pedanti, che la vitalità dì un",di lingua.,93d1b7e88f66977aa81fe9e5a15dc8e934c12aa96b1b33932fc683b1f8182ac8,exclude_not_sonnet,"Fourteen-line detector window is prose footnote material, not verse or a bounded sonnet."
pg19428:char21555-22177,19428,Le nostalgie,structural_14_line,14,"Ella avea chiuso gli occhi, e quasi inconsciente",E con le labbra ardenti le dolci labbra prese.,837fd176200e05e447ad96a39f5c9bdc50ed3e40c7bbce1bc4f4e63b49b2ae61,exclude_not_sonnet,"Fourteen-line window is a continuous narrative passage, not a bounded sonnet."
pg19428:char34527-35018,19428,Le nostalgie,structural_14_line,4-4-3-3,O felice la Grecia! Sensüale,Era indulgente per la stirpe umana.,afb06738f3016c037f179906b31648137acfa92d55620701f3f97d2f0e462dbd,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
pg19428:char35024-35544,19428,Le nostalgie,structural_14_line,4-4-3-3,E nella ferrea età medioevale,Con la corazza da uno stral trafitta.,490aa7392c17e2e72aaf3a0813e06fa8d6e200b27d215db294976536ad6cdf02,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.
