candidate_id,candidate_name,discovery_query_ids,source_archive,landing_page,assigned_corpus_role,language_variety,historical_period,register_genre_form,measured_scope,projected_characters,projected_works,projected_sonnets,materiality_basis,license_status,reuse_obligations,bulk_access,overlap_risk,official_evidence_ids,composition_decision,final_status,registry_archive_id,next_action,activation_status
ilc_cnr_rosmini,Corpus Antonio Rosmini - Serbati,re3data_01;clarin_it_06,ILC-CNR for CLARIN-IT,https://hdl.handle.net/20.500.11752/ILC-57,auxiliary_capped_ottocento_bridge,standard Italian,nineteenth century,philosophical and religious prose,"4,311,182 words in one downloadable corpus archive",,1,0,"pass: 4,311,182 words necessarily exceed the 1,000,000-character floor",CC BY-NC-SA 4.0,Attribute ILC-CNR and contributors; non-commercial use; ShareAlike,DSpace item metadata plus one downloadable corpus archive,very high single-author concentration; cross-archive overlap unmeasured,re3data_ilc_cnr;ilc_rosmini,auxiliary,eligible_bounded_source_audit_inactive,ilc_cnr_historical_corpora,"Run a bounded format, primary-text, overlap, and concentration audit; no full exposure without a capped bridge experiment.",inactive_metadata_only
ilc_cnr_opera_libretti,Digital edition of opera libretti,re3data_01;clarin_it_06,ILC-CNR for CLARIN-IT,https://hdl.handle.net/20.500.11752/OPEN-979,core_training_candidate,standard Italian,1636-1705,opera libretti; historical verse and drama,"56 texts in one 2,737,739-byte XML resource",,56,0,pass: 56 underrepresented seventeenth-century works exceed the 10-work scarcity threshold,CC BY 4.0,Attribute the digital edition and named contributors,DSpace item metadata plus one downloadable XML resource,moderate canonical/embedded-poem overlap; exact text unmeasured,re3data_ilc_cnr;ilc_libretti;ilc_libretti_bitstream,core_training,eligible_bounded_source_audit_inactive,ilc_cnr_historical_corpora,"Run a bounded XML extraction, quality, overlap, embedded-sonnet, and concentration audit.",inactive_metadata_only
ilc_cnr_bellini,Bellini Digital Correspondence,re3data_01;clarin_it_06,ILC-CNR for CLARIN-IT,https://hdl.handle.net/20.500.11752/OPEN-1000,auxiliary_capped_ottocento_bridge,standard Italian,nineteenth century,private correspondence,"40 textual units in one 407,671-byte TEI ZIP",,40,0,pass: 40 underrepresented epistolary units exceed the 10-work scarcity threshold,CC BY-NC 4.0,Attribute the edition; non-commercial use,DSpace item metadata plus one downloadable TEI ZIP,single-author concentration; likely low canonical overlap,re3data_ilc_cnr;ilc_bellini;ilc_bellini_bitstream,auxiliary,eligible_bounded_source_audit_inactive,ilc_cnr_historical_corpora,"Run a bounded TEI extraction, primary-text, overlap, and concentration audit; activate nothing.",inactive_metadata_only
ilc_cnr_codice_pelavicino,Codice Pelavicino,re3data_01;clarin_it_04;clarin_it_05,ILC-CNR for CLARIN-IT,https://hdl.handle.net/20.500.11752/OPEN-1012,auxiliary_conditioned_experiment,mixed Italian and Latin,tenth-thirteenth centuries,ecclesiastical and legal charters,"536 XML files; repository reports 66,000,000 bytes",,536,0,"conditioned pass: more than 100 documents, but not a standard-Italian source",CC BY 4.0,Attribute the digital edition and named contributors,DSpace item metadata and downloadable XML files,high Latin dominance and source-internal repetition risk,re3data_ilc_cnr;ilc_pelavicino,auxiliary,conditioned_auxiliary_experiment_required_inactive,ilc_cnr_historical_corpora,Keep outside the standard queue; require a separately approved mixed-language experiment before extraction.,inactive_conditioned_only
ilc_cnr_alfieri,Vittorio Alfieri's tragedies,clarin_it_02;clarin_it_04,ILC-CNR for CLARIN-IT,https://hdl.handle.net/20.500.11752/ILC-63,excluded,standard Italian,eighteenth century,tragedy,19 named tragedies; zero downloadable files,,19,0,fail: no bulk text and fewer than 100 works; BibIt lineage overlap,not established for corpus text,Retain ILC-CNR and source-edition provenance,service page only,very high BibIt overlap,ilc_alfieri,excluded,closed_access_and_overlap_exclusion,,No further audit; canonical source archives already cover the works.,inactive_excluded
ilc_cnr_bruno,Dialoghi Italiani di Giordano Bruno,clarin_it_06,ILC-CNR for CLARIN-IT,https://hdl.handle.net/20.500.11752/ILC-67,excluded,standard Italian,sixteenth century,philosophical dialogues,"334,854 advertised tokens; zero downloadable files",,,0,fail: no licensed bulk text route and high canonical overlap,not established for corpus text,Retain ILC-CNR provenance,service page only,very high BibIt/Gutenberg overlap,ilc_bruno,excluded,closed_access_and_overlap_exclusion,,No further audit unless a licensed downloadable source with unique text appears.,inactive_excluded
oxford_text_archive_italian,Oxford Text Archive Italian-language collection,re3data_01;re3data_02;ota_01,Oxford Text Archive,https://llds.ling-phil.ox.ac.uk/llds/xmlui/,core_training_candidate,standard and historical Italian; item review required,fourteenth-nineteenth centuries plus later exclusions,"prose, poetry, letters, reference, and early printed works","43 complete Italian-language catalog records, including at least 10 early-modern primary works",,43,,pass: at least 10 works from an underrepresented early-modern register,item-level CC0 or CC BY-NC-SA; verify every record,"Preserve item creators, OTA/TCP credit, license URI, and any non-commercial/ShareAlike terms",DSpace catalog plus item XML/TXT/EPUB bitstreams,high for canonical works; lower for EEBO-TCP Italian works,ota_cc0_early_modern;ota_by_nc_sa_item,core_training,eligible_bounded_source_audit_inactive,oxford_text_archive,"Inventory all 43 records, verify item terms/dates/languages, then probe only compatible unique candidates against existing corpora.",inactive_metadata_only
itadracor,ItaDraCor,github_01;github_03,DraCor / GitHub,https://github.com/dracor-org/itadracor,excluded,standard Italian,historical through nineteenth century,drama,"157 Italian plays, mostly retrieved from Biblioteca Italiana",,157,0,fail unique-value gate: direct derivative of an already-complete source,upstream personal/scientific-use notice; no independent corpus license established,Retain DraCor contributor and BibIt lineage notices,Git repository TEI files,near-total direct BibIt lineage,itadracor_readme,excluded,closed_canonical_derivative_exclusion,,Use only as structural metadata reference; do not reacquire duplicate text.,inactive_excluded
postdata_biblioteca_italiana,POSTDATA Biblioteca Italiana poetry corpus,github_04,GitHub / POSTDATA,https://github.com/linhd-postdata/biblioteca_italiana,excluded,standard and conditioned Italian inherited from BibIt,historical,poetry,Derivative poetry corpus explicitly sourced from Biblioteca Italiana,,,,fail unique-value gate: mirror/derivative of an already-complete source,repository terms do not replace upstream edition terms,Retain POSTDATA and BibIt provenance,Git repository,direct BibIt derivative,postdata_bibit_repo,excluded,closed_canonical_derivative_exclusion,,No text audit; existing BibIt extraction is canonical.,inactive_excluded
zenodo_eneide,ENEIDE historical Italian NER dataset,zenodo_phrase_01,Zenodo,https://zenodo.org/records/17407356,excluded,Italian,1817-1978 source span,entity annotations over diary and political works,"2,111 documents in a 972,266-byte annotation package",,2,0,fail: annotation payload below threshold and mixed with post-1900 source material,CC BY-NC-SA 4.0,Attribute creators; non-commercial use; ShareAlike,single Zenodo ZIP,Digital Zibaldone overlap plus modern Aldo Moro content,zenodo_eneide,excluded,closed_annotation_and_period_exclusion,,No primary-text acquisition; retain as an evaluation-resource reference only.,inactive_excluded
