record_id,title,quality_review_flags,language_variety_flags,manual_review_resolution,manual_review_rationale
ll:2344098,Delle Frascherie di Antonio Abati fasci tre,edition_notes_present,,accept_source_edition_with_documented_modernization,"The retained source edition explicitly records limited modernization of u/v usage, expanded abbreviation diacritics, and accented vowels; the probe preserves that supplied edition unchanged and does not claim original-print orthography."
ll:2344833,Tutte le fiabe,,review_language_variety_marker,accept_standard_italian_with_sicilian_lexical_note,The authorial warning assigns Sicilian-dialect meanings only to the fairy-tale terms Reuccio and Reginetta; the primary collection is otherwise standard literary Italian.
ll:2345022,Pinocchio,,review_language_variety_marker,accept_standard_italian_context,"The phrase 'dialetto della frusta' is a figurative description of whipping, while the primary novel is standard Italian."
ll:2399681,Racconti e bozzetti,possible_ocr_line_hyphenation,,accept_dialogue_terminal_hyphens,Inspection shows that line-final hyphens close dialogue turns and are followed by new prose paragraphs; they are punctuation rather than OCR-split words.
ll:2405027,Tizio Caio Sempronio,possible_ocr_line_hyphenation,,accept_dialogue_terminal_hyphens,Inspection shows that line-final hyphens close dialogue turns and are followed by new prose paragraphs; they are punctuation rather than OCR-split words.
ll:2405917,Dalla spuma del mare,possible_ocr_line_hyphenation,,accept_dialogue_terminal_hyphens,Inspection shows that line-final hyphens close dialogue turns and are followed by new prose paragraphs; they are punctuation rather than OCR-split words.
ll:2414511,La moglie nera,,review_language_variety_marker,accept_standard_italian_context,The marker occurs in standard-Italian narration describing soldiers who call out in different dialects; it does not identify the work's language variety.
ll:2427718,Racconti popolari,,review_language_variety_marker,accept_standard_tuscan_with_vocabulary_notes,"The editorial introduction says notes explain obsolete or Florentine-vernacular vocabulary; the primary historical Tuscan narratives remain suitable for the standard literary-Italian probe, with source notes retained."
ll:2439362,I miei racconti,,review_language_variety_marker,accept_standard_italian_context,The marker occurs in standard-Italian narration reporting that a captain gives orders in Genoese; no Genoese passage is supplied in the reviewed context.
ll:2440693,Monsù Tomè,,review_language_variety_marker,accept_standard_italian_context,"The narrator describes the character as complimenting himself in Piedmontese, but renders the ensuing speech and the work's primary narrative in standard literary Italian."
