review_id,unit_id,reference_id,review_type,evidence,resolution,next_checkpoint
review:bibit:record:bibit000118:bibit:sonnet:bibit001304:structural_0005,bibit:record:bibit000118,bibit:sonnet:bibit001304:structural_0005,sonnet_segment_quarantine,left=0.000920;right=0.923810;matching_shingles=97;preferred=bibit:sonnet:bibit001304:structural_0005,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit000278:bibit:sonnet:bibit001629:structural_0011,bibit:record:bibit000278,bibit:sonnet:bibit001629:structural_0011,sonnet_segment_quarantine,left=0.011510;right=0.912088;matching_shingles=83;preferred=bibit:sonnet:bibit001629:structural_0011,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit000682:bibit:sonnet:bibit000099:structural_0006,bibit:record:bibit000682,bibit:sonnet:bibit000099:structural_0006,sonnet_segment_quarantine,left=0.010947;right=0.833333;matching_shingles=80;preferred=bibit:sonnet:bibit000099:structural_0006,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0002,bibit:record:bibit000709,bibit:sonnet:bibit001585:structural_0002,sonnet_segment_quarantine,left=0.000584;right=1.000000;matching_shingles=88;preferred=bibit:sonnet:bibit001585:structural_0002,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0003,bibit:record:bibit000709,bibit:sonnet:bibit001585:structural_0003,sonnet_segment_quarantine,left=0.000577;right=1.000000;matching_shingles=87;preferred=bibit:sonnet:bibit001585:structural_0003,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0004,bibit:record:bibit000709,bibit:sonnet:bibit001585:structural_0004,sonnet_segment_quarantine,left=0.000571;right=1.000000;matching_shingles=86;preferred=bibit:sonnet:bibit001585:structural_0004,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0006,bibit:record:bibit000709,bibit:sonnet:bibit001585:structural_0006,sonnet_segment_quarantine,left=0.000584;right=0.967033;matching_shingles=88;preferred=bibit:sonnet:bibit001585:structural_0006,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0007,bibit:record:bibit000709,bibit:sonnet:bibit001585:structural_0007,sonnet_segment_quarantine,left=0.000471;right=0.898734;matching_shingles=71;preferred=bibit:sonnet:bibit001585:structural_0007,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit000709:bibit:sonnet:bibit001585:structural_0010,bibit:record:bibit000709,bibit:sonnet:bibit001585:structural_0010,sonnet_segment_quarantine,left=0.000577;right=1.000000;matching_shingles=87;preferred=bibit:sonnet:bibit001585:structural_0010,remove_exact_matched_span_in_checkpoint_7b,7B
review:bibit:record:bibit000709:wikisource:sonnet:itws:260006:sonnet0001,bibit:record:bibit000709,wikisource:sonnet:itws:260006:sonnet0001,sonnet_segment_quarantine,left=0.000345;right=0.825397;matching_shingles=52;preferred=wikisource:sonnet:itws:260006:sonnet0001,remove_exact_matched_span_in_checkpoint_7b,7B
