record_id,archive_id,title,assigned_role,metadata_decision,extracted_unit_count,eligible_unit_count,excluded_unit_count,held_unit_count,candidate_character_count,eligible_character_count,share_of_candidate_pool,share_of_resulting_pool,final_status,next_action,activation_status
ilc_bellini,ilc_cnr_historical_corpora,Bellini Digital Correspondence,ottocento_bridge_capped,eligible_text_probe_inactive,40,40,0,0,40272,40272,0.00099259,0.00006038,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ilc_libretti,ilc_cnr_historical_corpora,Digital edition of opera libretti,historical_non_sonnet_poetry,eligible_text_probe_inactive,56,56,0,0,785371,785371,0.01935711,0.00117755,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ilc_rosmini,ilc_cnr_historical_corpora,Corpus Antonio Rosmini - Serbati,ottocento_bridge_capped,eligible_text_probe_inactive,55,54,1,0,28649318,28090926,0.70612232,0.04295557,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_0302,oxford_text_archive,Il libro del cortegiano  / compiled by J.R. Woodhouse,historical_general,eligible_text_probe_inactive,1,1,0,0,674633,674633,0.01662774,0.00101152,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_0303,oxford_text_archive,Discorso o Dialogo intorno alla nostra lingua / Nicolò Machiavelli,historical_general,eligible_text_probe_inactive,1,1,0,0,26397,26397,0.00065061,0.00003958,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_0304,oxford_text_archive,Rime : 1-85 / Michelangelo Buonarroti,historical_non_sonnet_poetry,eligible_text_probe_inactive,1,1,0,0,87349,87349,0.00215290,0.00013097,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_0305,oxford_text_archive,Tutte le novelle / Giovanni Verga,ottocento_bridge_capped,eligible_text_probe_inactive,7,3,4,0,77547,31982,0.00191131,0.00011627,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_0352,oxford_text_archive,Bucolicum carmen / Petrarch,historical_general,eligible_text_probe_inactive,1,0,1,0,89799,0,0.00221328,0.00013464,closed_no_unique_eligible_text,retain duplicate/quality evidence; materialize nothing,inactive_audit_only
ota_0406,oxford_text_archive,Seven dialect tales  / compiled by J.R. Woodhouse,conditioned_language,conditioned_language_excluded_inactive,0,0,0,0,0,0,0.00000000,0.00000000,conditioned_language_excluded_inactive,closed at metadata gate; retain evidence only,inactive_audit_only
ota_0407,oxford_text_archive,Galateo  / compiled by J.R. Woodhouse,historical_general,eligible_text_probe_inactive,1,1,0,0,133676,133676,0.00329472,0.00020043,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_0408,oxford_text_archive,Canti popolari della Grecia moderna / di Marino Vretos,excluded,excluded_post_1900,0,0,0,0,0,0,0.00000000,0.00000000,excluded_post_1900,closed at metadata gate; retain evidence only,inactive_audit_only
ota_0693,oxford_text_archive,"Inferno  / compiled by Antonio Zampolli for the Istituto di linguistica computazionale, Università di Pisa.",historical_non_sonnet_poetry,eligible_text_probe_inactive,1,1,0,0,233558,233558,0.00575653,0.00035019,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_0694,oxford_text_archive,"Purgatorio  / compiled by Antonio Zampolli for the Istituto di linguistica computazionale, Università di Pisa.",historical_non_sonnet_poetry,eligible_text_probe_inactive,1,1,0,0,236660,236660,0.00583298,0.00035484,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_0695,oxford_text_archive,"Paradiso / compiled by Antonio Zampolli for the Istituto di linguistica computazionale, Università di Pisa.",historical_non_sonnet_poetry,eligible_text_probe_inactive,1,1,0,0,235799,235799,0.00581176,0.00035355,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_0702,oxford_text_archive,"Lettere familiari : [lettere a Charles Lyell, 1826-49] / Gabriele Rossetti",ottocento_bridge_capped,eligible_text_probe_inactive,10,8,2,0,772814,732211,0.01904762,0.00115872,eligible_checkpoint_7_canonicalization_inactive,carry eligible units and recorded exclusions into cross-archive canonicalization,inactive_audit_only
ota_0871,oxford_text_archive,Gerusalemme liberata / Torquato Tasso,historical_non_sonnet_poetry,eligible_text_probe_inactive,1,0,1,0,597537,0,0.01472755,0.00089592,closed_no_unique_eligible_text,retain duplicate/quality evidence; materialize nothing,inactive_audit_only
